"Country","HDI","HDICategory","Age","Gender","HaveKids","Ed.Level","WorkStatus","Income","Occupation","YearsAtJob","MonthsAtJob","Community","MaritalStat","Sons","Daughters","BdWstTime","BdDelayAct","BdMustAct","BdDelayMake","BdPutOff","GdPayBills","GdPunctual","GdPrepared","BdRunLate","BdCmpltTm","GdWantGrow","BdFamView","GdTmToSpare","BdDeadline","BdTmMngmt","GdDocApt","GdMorePunct","GdMaint","BdXpctLate","BdCostMoney","BdLateStart","BdMissTckts","GdPartyPln","GdEasyWake","BdSlowMail","GdRtnCalls","BdWrkr","GdDecisive","BdWrkDelay","BdAirport","GdSocial","BdDeadline.1","GdSMLBill","GdRSVP","GdTask","BdBdayGFT","BdEsntlItem","GdCmplteDay","BdDoTmrow","GdEvngTasks","GdIdealLIfe","GdExclLife","GdSatisLife","GdImprtThs","GdChangeNil","SelfView","ExtView","DPMean","AIPMean","GPMean","SWLSMean"
"Afghanistan","0.479","Low human development",55,"Male","No Kids","deg","full-time",87500,"",0,6,"Large Town","Married",0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,2.66666666666667,3.15,2.4
"Afghanistan","0.479","Low human development",55,"Female","Yes Kids","deg","full-time",10000,"",7,0,"Village","Divorced",0,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3.2,3.06666666666667,2.8,1.4
"Afghanistan","0.479","Low human development",80,"Female","No Kids","grade","unemployed",10000,"",0,0,"Medium-Sized","Single",0,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no",3,2.73333333333333,3.1,2.8
"Afghanistan","0.479","Low human development",55,"Male","Yes Kids","ma","full-time",150000,"",0,0,"Large Town","Married",0,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.6,3.86666666666667,3.7,2.4
"Albania","0.764","High human development",45,"Female","No Kids","ltuni","full-time",150000,"",0,0,"Large Town","Single",0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2.06666666666667,3.75,3
"Albania","0.764","High human development",67.5,"Male","Yes Kids","deg","part-time",87500,"Media Consultant",4,0,"Large-City","Divorced",0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.4,2.4,2.9,3.8
"Algeria","0.745","High human development",55,"Female","Yes Kids","dip","full-time",55000,"Assoc. Governmental Program Analyst",28,0,"Large-City","Married",0,4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,"yes","no",1.6,2.13333333333333,2.35,3.8
"Algeria","0.745","High human development",45,"Male","Yes Kids","ma","full-time",35000,"",10,0,"Village","Married",0,0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,"yes","yes",4.2,2.86666666666667,3.35,3.6
"Algeria","0.745","High human development",37.5,"Female","No Kids","deg","full-time",67500,"",9,6,"Village","Married",0,0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,"yes","no",4.4,2.86666666666667,3.3,4.2
"Andorra","0.858","Very high human development",80,"Male","No Kids","ma","retired",45000,"retired",17,0,"Medium-Sized","Single",0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,"no","no",1.4,1.46666666666667,2.05,4
"Andorra","0.858","Very high human development",55,"Male","Yes Kids","ma","full-time",250000,"Finance",23,0,"Large-City","Married",0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2,2.4,2.5,3.6
"Argentina","0.827","Very high human development",67.5,"Male","Yes Kids","","part-time",150000,"BUSINESS CONSULTA",12,0,"Small Town","Married",0,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"","no",3,2.66666666666667,2.6,3.4
"Argentina","0.827","Very high human development",32.5,"Female","No Kids","deg","full-time",67500,"Manager",3,0,"Large-City","Single",0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",1.8,1.86666666666667,2.4,3.6
"Argentina","0.827","Very high human development",45,"Male","Yes Kids","deg","full-time",55000,"",7,0,"Village","Married",1,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,2.95,3.6
"Australia","0.939","Very high human development",32.5,"Male","No Kids","ltuni","full-time",45000,"Service co-ordinator",0,7,"Large-City","Single",0,0,4,4,4,3,3,4,5,3,5,3,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,1,1,2,1,3,"yes","yes",3.6,4.06666666666667,4.05,1.6
"Australia","0.939","Very high human development",55,"Male","Yes Kids","ma","full-time",35000,"",3,5,"","Married",0,2,4,4,4,4,4,2,1,3,2,3,3,3,4,3,3,4,2,4,1,2,4,3,4,4,4,2,4,4,4,2,2,4,3,4,3,5,4,4,3,5,4,5,4,5,4,"yes","yes",4,2.66666666666667,3.55,4.4
"Australia","0.939","Very high human development",55,"Male","No Kids","lthigh","unemployed",15000,"",6,6,"Rural/Country","Divorced",0,0,3,3,2,3,3,1,1,1,2,3,2,2,3,3,3,1,1,2,1,3,4,2,2,3,2,2,4,3,4,1,2,4,1,1,3,2,3,4,3,4,2,1,1,1,1,"no","",2.8,1.93333333333333,2.65,1.2
"Australia","0.939","Very high human development",37.5,"Male","No Kids","high","full-time",150000,"",6,3,"Village","Single",0,0,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,3,2,2,2,2,2,3,3,3,1,"no","no",2.2,1.73333333333333,1.85,2.4
"Australia","0.939","Very high human development",28,"Male","No Kids","deg","student",15000,"",0,3,"Small Town","Married",0,0,3,3,3,2,2,2,3,4,3,4,5,5,4,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,4,3,3,"yes","yes",2.6,3.4,3,3.4
"Australia","0.939","Very high human development",32.5,"Female","Yes Kids","phd","student",45000,"",4,6,"Village","Married",0,1,3,3,5,5,5,3,1,3,2,5,4,3,5,4,5,3,3,3,1,4,4,3,1,2,3,1,5,5,5,1,3,5,3,3,5,1,1,5,4,5,3,2,2,3,2,"yes","no",4.2,3.26666666666667,3.2,2.4
"Australia","0.939","Very high human development",45,"Male","Yes Kids","deg","full-time",55000,"IT",1,9,"Large-City","Married",0,0,3,3,3,1,1,1,1,2,3,2,1,1,3,1,2,1,3,2,2,2,2,2,4,1,1,1,1,2,4,1,3,2,1,3,3,3,3,3,1,2,3,4,4,4,3,"yes","no",2.2,1.8,2.1,3.6
"Australia","0.939","Very high human development",28,"Female","No Kids","ltuni","full-time",55000,"",2,2,"Village","Single",0,0,4,4,4,5,5,2,4,3,5,4,5,5,4,5,5,3,5,4,5,5,5,4,4,5,4,5,4,4,4,4,5,3,1,3,4,4,4,5,5,4,1,2,2,1,2,"yes","yes",4.4,4.26666666666667,4.15,1.6
"Australia","0.939","Very high human development",55,"Female","Yes Kids","ma","student",15000,"",2,2,"Medium-Sized","Married",0,2,3,2,2,1,1,1,1,3,3,2,1,1,3,1,2,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,4,1,2,4,3,5,5,3,"yes","no",1.8,1.86666666666667,2.05,4
"Australia","0.939","Very high human development",45,"Female","No Kids","deg","full-time",35000,"",0,9,"Medium-Sized","Single",0,0,5,3,3,3,3,1,1,5,2,2,4,2,2,2,3,2,2,1,1,1,5,4,1,2,2,3,3,3,3,3,2,3,5,4,3,4,2,5,5,5,1,3,1,2,2,"yes","yes",3.4,2.06666666666667,3.3,1.8
"Australia","0.939","Very high human development",20,"Female","No Kids","ltuni","student",10000,"",2,0,"Village","Single",0,0,1,3,2,2,2,2,2,1,3,1,1,1,4,1,2,2,2,5,2,5,3,1,2,5,5,2,5,2,5,1,3,5,2,2,2,5,5,5,3,4,5,4,5,5,5,"yes","no",2,2.26666666666667,3.15,4.8
"Australia","0.939","Very high human development",32.5,"Female","No Kids","ma","full-time",67500,"",3,0,"Rural/Country","Single",0,0,3,4,3,3,3,5,2,3,3,5,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,3,5,4,2,5,4,4,4,5,3,3,5,4,3,3,4,4,4,"yes","no",3.2,3.93333333333333,3.95,3.6
"Australia","0.939","Very high human development",28,"Female","No Kids","deg","full-time",55000,"",1,4,"8","",0,0,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,2,4,3,3,2,2,3,3,3,2,3,3,4,3,4,2,"yes","no",2.2,2.06666666666667,2.55,3.2
"Australia","0.939","Very high human development",28,"Male","Yes Kids","ma","full-time",55000,"",7,0,"Village","Married",0,1,2,3,2,1,1,1,1,3,2,2,2,1,1,1,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,1,3,1,3,1,3,3,2,4,5,5,4,3,"no","no",1.8,1.93333333333333,2.1,4.2
"Australia","0.939","Very high human development",45,"Female","No Kids","ma","full-time",67500,"",2,0,"Village","Married",0,0,3,3,3,3,3,3,1,2,1,2,1,1,3,1,2,2,2,3,1,2,3,3,3,3,4,2,2,3,4,1,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,"yes","no",3,1.8,2.9,2.4
"Australia","0.939","Very high human development",45,"Male","Yes Kids","high","full-time",150000,"",1,0,"Rural/Country","Married",1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,4,1,1,1,1,1,1,1,1,5,2,2,2,2,3,2,2,3,3,"yes","no",1.2,1,1.75,2.6
"Australia","0.939","Very high human development",19,"Female","No Kids","high","student",10000,"",0,5,"Large Town","Single",0,0,4,3,2,1,1,1,1,3,1,1,1,1,5,1,1,4,2,4,1,1,1,1,2,3,2,2,1,3,3,2,4,1,2,2,2,2,2,3,1,2,4,4,4,3,4,"no","no",2.2,1.86666666666667,2.05,3.8
"Australia","0.939","Very high human development",45,"Male","Yes Kids","phd","part-time",250000,"",9,0,"Village","Married",0,3,1,1,2,2,1,5,5,5,5,5,1,5,5,5,4,5,5,5,5,1,1,5,5,5,1,5,1,5,1,2,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,"no","no",1.4,4.4,3.8,5
"Australia","0.939","Very high human development",45,"Male","Yes Kids","ma","full-time",87500,"",0,0,"Village","Separated",0,1,2,4,3,3,3,3,2,5,1,4,3,1,2,2,2,3,3,4,1,4,4,4,5,5,5,3,5,3,5,1,5,4,4,5,4,2,4,5,5,5,1,2,3,2,3,"yes","yes",3,2.66666666666667,4.05,2.2
"Australia","0.939","Very high human development",32.5,"Male","No Kids","deg","full-time",87500,"",2,0,"Village","Single",0,0,4,4,4,3,3,3,2,5,3,5,4,5,4,5,5,5,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,5,5,4,4,5,3,3,3,4,3,"yes","yes",3.6,4,4.05,3.2
"Australia","0.939","Very high human development",32.5,"Female","No Kids","ma","full-time",67500,"",10,9,"Small Town","Married",0,0,4,4,4,2,2,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,4,3,2,1,3,2,2,3,4,2,2,5,4,4,3,4,2,4,4,4,4,4,4,4,4,"yes","no",3.2,1.8,2.95,4
"Australia","0.939","Very high human development",45,"Female","Yes Kids","deg","full-time",55000,"",6,0,"Medium-Sized","Divorced",1,2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,"yes","no",2.4,1.86666666666667,2.65,2
